店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
状元烤场(大学路总店),95191,烤肉自助,状元烤场餐厅,791004,http://p1.meituan.net/poi/8c3d908bf32817d01745a011de70d6f7203194.png,4.3,48,51.9,郑州大学,167,34.74537,113.644607,二七区大学路与中原路交叉口向南100米路东永辉超市2楼,,"1351,",停车位收费标准：玉凤路店提供状元烤场专属免费停车位,单人午/晚餐51.9元，单人晚餐56.9元;,周一至周日 11:00-14:30 17:00-21:30  2019-02-04至2019-02-07 休息,0371-86062929/400-003-1321,653476,状元烤场处处充满着时尚优雅的环境，让食客进去就能感受到一种时尚的气息，这里经营多种菜品，以韩式烤肉和日本铁板烧为主，同时也为广大食客提供海鲜、时令蔬菜等菜品，丰富的菜肴和热情周到的服务，加上味道的鲜美，让这里成为各年龄段食客聚会的不错选择。,,False,0,858,653476,True,False
方燕烤猪蹄(安微名吃二七广场一店),4571500,猪脚,方燕烤猪蹄,1688264,http://p1.meituan.net/poi/7a13124be638e4eccc9a17a9fc7c5fcd8533.png,5,10,10.9,火车站/二七广场,167,34.749738,113.664692,二七区裕元里百年德化步行街六道巷北门门口1楼,1,"1353,1352,",,10.9元烤猪蹄，21.8元2人餐;10.9代12元;,周一至周日 10:00-23:00,19939500377,459751,方燕烤猪蹄**秘制配方，精选48余种名贵中草药、**酱料调制而成。无需腌制，调味简单。 文火烤制，软滑糯嫩，肥而不腻、入口即化，唇齿留香，颇有“东陂肘”之神韵。 猛火烤制，皮酥肉嫩，筋肉弹牙，香透入骨，回味绵长，更胜“烤羊腿”之味美。,,False,1,404,459751,False,False
欧啦自助火锅,12988,火锅自助,欧啦自助火锅,674422,http://p0.meituan.net/poi/e16e32b7b4988be1e20aaedb27f0316f31448.png,3.8,34,56.9,天旺广场,166,34.799615,113.632852,金水区南阳路与东风路交叉口向北300米路西（依之妮店楼上）,,,免费提供3个停车位,单人午/晚餐56.9元;56.9代69元;,周一至周日 10:00-24:00,0371-63671166,336297,欧啦自助火锅装饰风格简约明了，鹅黄色的光线柔和折射在餐桌上。菜品都采用回转方式，100余中菜品从传送带上静静的载来，任意挑任意选，可谓触手可及。试想，琳琅满目的美味缓缓滑过你的视线，慢慢进入你的胃，惬意和舒适油然而生。,,False,0,1744,336297,True,False
鑫海汇海鲜烤肉自助(二七广场店),41938892,海鲜自助,鑫海汇海鲜烤肉自助,1867219,,5,53,49.9,火车站/二七广场,167,34.754328,113.664166,二七区民主路3号华联商厦5层,5,"1353,1354,",,单人午/晚餐51.9元，单人午/晚餐52.9元，单人午/晚餐62.9元，单人午餐62.9元，双人午餐125.9元，[4]人午/晚餐249.9元，[6]人午/晚餐377.9元;49.9代79元;,周一至周日 09:00-22:00,0371-85966331/85966332,314307,,,False,0,1844,314307,True,False
方燕烤猪蹄(安微名吃二七广场二店),5029746,猪脚,方燕烤猪蹄,1688264,http://p1.meituan.net/poi/7a13124be638e4eccc9a17a9fc7c5fcd8533.png,5,10,10.9,火车站/二七广场,167,34.750238,113.664539,二七区兴盛路六道巷内61号傣妹火锅楼下,1,"1353,1352,",,10.9元烤猪蹄，21.8元2人餐;10.9代12元;,周一至周日 10:00-23:00,15639902995,305112,方燕烤猪蹄**秘制配方，精选48余种名贵中草药、**酱料调制而成。无需腌制，调味简单。 文火烤制，软滑糯嫩，肥而不腻、入口即化，唇齿留香，颇有“东陂肘”之神韵。 猛火烤制，皮酥肉嫩，筋肉弹牙，香透入骨，回味绵长，更胜“烤羊腿”之味美。,,False,0,153,305112,False,False
汉釜宫海鲜自助烧烤涮(曼哈顿店),2185893,综合自助,,0,,3.7,50,1,曼哈顿广场,166,34.760494,113.709024,金水区金水路与未来路交叉口曼哈顿广场奥斯卡电影院东南侧斜对面二楼,,"1356,1357,",停车位收费标准：本店斜对面地下停车场和小区院内地下停车场有对外开放停车位,单人午/晚餐1元，单人午/晚餐52.9元，单人午餐55.9元，单人午/晚餐59.9元;,周一至周日 11:00-14:00 17:30-21:30  2019-02-03至2019-02-11 休息,0371-53788868/18224523239,294949,北京汉釜宫韩式自助烤肉以经营发展韩式宫廷美食而闻名东南亚，其特色的韩式烧烤餐饮更是受到海内外美食家的称赞。在继承韩国宫廷美食文化及烹制技法的基础上，汉釜宫大胆创新，将传统韩式餐饮与现代技术相结合，在不断的发展中，汉釜宫将韩式宫廷饮食经典与现代餐饮文化风尚融为一体，集美味、营养、特色之大成。被誉为“韩式餐饮美食家”、“汉釜美食知名品牌”。,,False,0,324,294949,True,False
釜山第一烤场烧烤涮自助餐厅(二七万达店),6309483,综合自助,釜山第一烤场,1648804,http://p1.meituan.net/poi/e311ed01e20093b8bfb7576fdc021d3a88342.png,3.6,44,2,二七万达,167,34.71771,113.642278,二七区航海路与大学路交叉口二七万达金街132号（3号门出口）,1,,,单人午/晚餐2元，单人午餐29.9元，单人午餐46.9元，单人午/晚餐51.9元，双人午餐92.8元，双人晚餐102.8元，[4]人午餐185.6元，[4]人晚餐205.6元，[6]人晚餐308元;51.9代59元;,周一至周日 11:30-14:30 17:30-22:00,0371-61770302,287961,北京汉丽轩烤肉超市，提供韩式自助烤肉服务，颠覆传统韩式烧烤和自助餐的运营模式，提出了“烤肉超市”这一独特、极有创意的全新运营模式。店内拥有200多种美味佳肴可供消费者随心挑选。,,False,0,1098,287961,True,False
诸葛烤串(百年德化店),42734449,烤串,,0,,4.4,10,19.8,火车站/二七广场,167,34.750851,113.666437,二七区彩虹路德化新街负一楼5号口,1,"1353,1352,",,19.8元烤面筋8串;,周一至周五 10:00-22:00,13283871958,262301,,,False,0,0,262301,False,False
喜虾客(无限城店),72091213,虾蟹火锅,,0,,4.8,39,59.9,火车站/二七广场,167,34.74919,113.666309,二七区德化街无限城4楼,4,"1353,1352,",,每满100减11（买单立享）;双人餐59.9元起，2-3人餐82元，3-4人餐98元，6人餐139元，8人餐168元;89代100元;,周一至周日 10:00-22:00  2019-02-04至2019-02-09 休息,0371-60205952,252234,,,False,0,2024,252234,True,False
锅大侠火锅(德化步行街店),2183814,四川火锅,锅大侠火锅,1097547,http://p1.meituan.net/poi/0b5890a3fb68c495cf7b260a854f809a15368.png,4.7,39,82,火车站/二七广场,167,34.753753,113.666512,二七区德化步行街100号天成银楼三楼四楼（近火车站）,,"1353,1354,",停车位收费标准：电讯商家,双人餐82元，2-3人餐89元，4-5人餐168元，6-8人餐243元，8-10人餐319元;90代100元，178代200元;,周一至周日 10:00-01:00  2019-02-04至2019-02-07 休息,0371-66960999,239668,锅大侠餐饮连锁成立于2009年，是一家以经营火锅为主题的休闲式连锁餐厅。公司自2009年创办以来历经四年的高速发展，现已有10余家直营连锁店、中央厨房加工基地和物流配送中心。食品加工真正实现了从采购源头、仓储加工到配送环节的安全性、高效性、便捷性的标准化管理。公司总部从成立之初七人发展到现在的六十余人，门店各岗位员工三百余人。公司下设董事会、管理中心、财务部、运营部、行政部、后勤部、人力资源部、培训部、物流仓储部、营销企划部、工程部、IT部、质检部、加盟部、采购部15个部门。锅大侠火锅秉承诚信经商、以诚为本、顾客至上的经营原则，以思远、拼搏、实干、高效、共赢的企业精神，力争将锅大侠铸造成百姓与同行尊重的火锅连锁品牌。具有中国元素的锅大侠火锅，大胆创新“挥毫泼墨”的设计风格，以都市时尚为装饰主题、以实惠火锅新主张的经营理念，为顾客提供一个休闲、聚会、购物小憩、情侣约会的快捷舒适的用餐场所、并以专业、专注细节的服务理念为顾客提供一流的就餐服务。锅大侠火锅经过不断探索与改良，精选几十余种上等药材和香料，结合现代营养学，应用最新烹饪技术精心熬制而成。富含维生素、蛋白质、锌、钙等多种营养成分，具有开胃、养颜、食后不上火等特点。公司力图将“锅大侠”品牌塑造成民族餐饮行业的“百年老店”，为中国餐饮行业的发展做出贡献。,,False,0,41,239668,True,False
