标签,累计数量,城市
分量足,116,上海
主食赞,32,上海
牛肉赞,19,上海
上菜快,17,上海
交通便利,13,上海
回头客,3,上海
工作餐,11,上海
朋友聚餐,6,上海
现做现卖,3,上海
弄堂小吃,3,上海
味道赞,40,上海
服务热情,19,上海
环境优雅,13,上海
干净整洁,4,上海
分量足,3,上海
商圈附近,6,上海
味道赞,9,上海
服务热情,9,上海
性价比高,5,上海
价格实惠,4,上海
商圈附近,5,上海
分量少,4,上海
味道赞,39,上海
服务热情,11,上海
干净整洁,4,上海
上菜快,3,上海
肉夹馍,23,上海
午餐,16,上海
商圈附近,7,上海
装修好看,5,上海
分量少,6,上海
价格高,4,上海
味道赞,38,深圳
交通便利,15,深圳
分量足,7,深圳
服务热情,6,深圳
体验很棒,5,深圳
上菜快,3,深圳
环境优雅,3,深圳
装修好看,7,深圳
午餐,7,深圳
朋友聚餐,3,深圳
味道赞,15,太仓
干净整洁,7,太仓
价格实惠,6,太仓
性价比高,6,太仓
服务热情,6,太仓
分量足,5,太仓
菜品不错,4,太仓
体验很棒,4,太仓
味道赞,15,太原
干净整洁,3,太原
午餐,5,太原
